Rotation;Plot;Year;Crop
A;1;1;R
A;1;2;G
A;1;3;G
A;1;4;R
A;1;5;G
A;1;6;G
A;1;7;R
A;1;8;G
A;1;9;G
A;1;10;R
A;1;11;G
A;1;12;G
A;2;1;G
A;2;2;R
A;2;3;G
A;2;4;G
A;2;5;R
A;2;6;G
A;2;7;G
A;2;8;R
A;2;9;G
A;2;10;G
A;2;11;R
A;2;12;G
A;3;1;G
A;3;2;G
A;3;3;R
A;3;4;G
A;3;5;G
A;3;6;R
A;3;7;G
A;3;8;G
A;3;9;R
A;3;10;G
A;3;11;G
A;3;12;R
B;1;1;R
B;1;2;R
B;1;3;G
B;1;4;G
B;1;5;R
B;1;6;R
B;1;7;G
B;1;8;G
B;1;9;R
B;1;10;R
B;1;11;G
B;1;12;G
B;2;1;G
B;2;2;R
B;2;3;R
B;2;4;G
B;2;5;G
B;2;6;R
B;2;7;R
B;2;8;G
B;2;9;G
B;2;10;R
B;2;11;R
B;2;12;G
B;3;1;G
B;3;2;G
B;3;3;R
B;3;4;R
B;3;5;G
B;3;6;G
B;3;7;R
B;3;8;R
B;3;9;G
B;3;10;G
B;3;11;R
B;3;12;R
B;4;1;R
B;4;2;G
B;4;3;G
B;4;4;R
B;4;5;R
B;4;6;G
B;4;7;G
B;4;8;R
B;4;9;R
B;4;10;G
B;4;11;G
B;4;12;R
